company,title,description
Apex Focus Group,Part-Time Focus Group Participant - Work From Home,"Now accepting applicants for Focus Group studies. Earn up to $750 per week part-time working from home. Must register to see if you qualify. No Administrative Assistant admin experience needed.

Administrative Assistant Admin Work From Home - Part Time Remote Focus Group Panelists

Our company is seeking individuals to participate in National & Local Paid Focus Groups, Clinical Trials, and Market Research assignments.

With most of our paid focus group studies, you have the option to participate remotely online or in-person. This is a great way to earn additional income from the comfort of your home.

Compensation

$75-$150 (per 1 hour session)
$300-$750 (multi-session studies)

Job Requirements

Show up at least 10 mins before discussion start time.
Participate by completing written and oral instructions.
Complete written survey provided for each panel.
MUST actually use products and/or services, if provided. Then be ready to discuss PRIOR to meeting date.

Qualifications

Must have either a smartphone with working camera or desktop/laptop with webcam
Must have access to high speed internet connection
Desire to fully participate in one or several of the above topics
Ability to read, understand, and follow oral and written instructions.
Administrative assistant admin experience is not necessary.

Job Benefits

Flexibility to take part in discussions online or in-person.
No commute needed should you choose to work from home remotely.
No minimum hours. You can do this part-time or full-time
Enjoy free samples from our sponsors and partners in exchange for your honest feedback of their products.
You get to review and use new products or services before they are released to the public.

You must apply on our website and complete a set of questionnaire to see if you qualify.

This position is perfect for anyone looking for temporary, part-time or full-time work. The hours are flexible and no previous experience is required. If you are an administrative assistant or someone just looking for a flexible part time remote work from home job, this is a great way to supplement your income."
Jobs via Dice,Web Software Developer,"Job Description

Job Description

About The Company

Sync is Canada's largest cloud storage and document collaboration provider, and a world-leader in cloud content management. Our mission is to make secure file storage, sharing, and collaboration easy for everyone by providing a safe space for the world to collaborate. We're transforming the way SMBs work together, and we're actively expanding into digital enterprise. We need your help!

By joining Sync you will have an amazing opportunity to help over 2 million businesses and individuals worldwide store important information, share big ideas, and collaborate on game changing projects. You will help define what the future of work looks like. Most importantly you will be part of an incredible team helping to get the world in Sync.

Sync needs you!

We're seeking an experienced Web Software Developer who is passionate about delivering high-quality, scalable, and maintainable backend and frontend applications. As a key contributor to our team, you'll be responsible for designing, developing, and maintaining complex web applications using modern PHP, NodeJS, and other relevant technologies. You'll own the technical direction of our backend storage application and APIs, ensuring that our products are delivered with exceptional performance, efficiency, and reliability.

We want someone who is a versatile and skilled web software developer who can deliver high-quality applications with ease. You'll be responsible for driving high quality software development and delivering exceptional user experiences. If you have a passion for web development, are always looking to learn and improve, and are eager to take on new challenges, we'd love to hear from you!

This is a remote role.

Responsibilities:

Design, develop, and maintain both backend and frontend applications, leveraging your expertise in modern PHP, NodeJS, Angular, TypeScript, JavaScript
Contribute to the technical direction for our backend storage application and APIs, leading the development of new features and integrations
Drive backend performance and efficiency of our infrastructure, utilizing knowledge of networking, storage, and DevOps practices to optimize resource allocation and scalability
Collaborate with cross-functional teams to understand business requirements and translate them into functional specifications, ensuring alignment with product goals and user needs
Participate in the SDLC (Software Development Life Cycle) process, working closely with QA engineers to ensure that applications are thoroughly tested and meet high standards of quality
Utilize feedback from tools like Sentry.io and Datadog to continuously improve our products, identify areas for improvement, and optimize performance
Follow established architecture patterns set by senior developers, while also contributing ideas and suggestions to drive innovation and growth within the team
Develop and implement innovative solutions that drive user engagement, conversion, and overall app success
Stay up-to-date with the latest web development trends, technologies, and best practices, applying this knowledge to drive innovation and growth within our team

Requirements:

At least 4 years of experience in web software development, with a strong focus on modern PHP, NodeJS, and frontend frameworks such as Angular
Good understanding of SDLC principles, including Agile methodologies, design thinking, and user-centered development
Excellent problem-solving skills, with a keen eye for detail and a passion for debugging
Strong leadership and mentoring skills, with experience in working collaboratively with cross-functional teams
Familiarity with networking fundamentals, including TCP/IP, HTTP, and socket programming (beneficial but not required)
Familiar with database management systems, including MySQL, MongoDB, and PostgreSQL

Nice to Have:

Experience with cloud computing platforms, such as AWS or Azure
Familiarity with containerization tools, such as Docke
Knowledge of security best practices, including authentication, authorization, and encryption
Experience with monitoring and logging tools, including Prometheus, Grafana, and ELK Stack

Perks:

Competitive salary and benefits package
Hybrid work arrangement with mix of remote and in-office work
Opportunity to grow into an Operations role within the company
Collaborative and dynamic team environment
Professional development and training opportunities

Sync.com is an equal opportunity, dedicated to building a diverse and inclusive team. We encourage applications from all qualified candidates and will accommodate applicants needs throughout the recruitment, assessment, and selection process. If selected to participate in the process, please inform us of the nature of any accommodation(s) that you may require.

Powered by JazzHR

w8U96DPuMF"
Amazon,Applied Scientist II,"Description

As part of the AWS Solutions organization, we have a vision to provide business applications, leveraging Amazon’s unique experience and expertise, that are used by millions of companies worldwide to manage day-to-day operations. We will accomplish this by accelerating our customers’ businesses through delivery of intuitive and differentiated technology solutions that solve enduring business challenges. We blend vision with curiosity and Amazon’s real-world experience to build opinionated, turnkey solutions. Where customers prefer to buy over build, we become their trusted partner with solutions that are no-brainers to buy and easy to use.

The Team: Amazon Go is a new kind of store with no lines and no checkout—you just grab and go! Customers simply use the Amazon Go app to enter the store, take what they want from our selection of fresh, delicious meals and grocery essentials, and go!

Our checkout-free shopping experience is made possible by our Just Walk Out Technology, which automatically detects when products are taken from or returned to the shelves and keeps track of them in a virtual cart. When you’re done shopping, you can just leave the store. Shortly after, we’ll charge your Amazon account and send you a receipt. Check it out at amazon.com/go. Designed and custom-built by Amazonians, our Just Walk Out Technology uses a variety of technologies including computer vision, sensor fusion, and advanced machine learning. Innovation is part of our DNA! Our goal is to be Earths’ most customer centric company and we are just getting started. We need people who want to join an ambitious program that continues to push the state of the art in computer vision, machine learning, distributed systems and hardware design.

The Role: Everyone on the team needs to be entrepreneurial, wear many hats and work in a highly collaborative environment that’s more startup than big company. We’ll need to tackle problems that span a variety of domains: computer vision, image recognition, machine learning, real-time and distributed systems.

As a Machine Learning or Computer Vision Research Scientist, you will help solve a variety of technical challenges and mentor other engineers. You will tackle challenging, novel situations every day and given the size of this initiative, you’ll have the opportunity to work with multiple technical teams at Amazon in different locations. You should be comfortable with a degree of ambiguity that’s higher than most projects and relish the idea of solving problems that, frankly, haven’t been solved at scale before - anywhere. Along the way, we guarantee that you’ll learn a ton, have fun and make a positive impact on millions of people.

About The Team

Why AWS

Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud platform. We pioneered cloud computing and never stopped innovating — that’s why customers from the most successful startups to Global 500 companies trust our robust suite of products and services to power their businesses.

Diverse Experiences

Amazon values diverse experiences. Even if you do not meet all of the preferred qualifications and skills listed in the job description, we encourage candidates to apply. If your career is just starting, hasn’t followed a traditional path, or includes alternative experiences, don’t let it stop you from applying.

Work/Life Balance

We value work-life harmony. Achieving success at work should never come at the expense of sacrifices at home, which is why we strive for flexibility as part of our working culture. When we feel supported in the workplace and at home, there’s nothing we can’t achieve in the cloud.

Inclusive Team Culture

Here at AWS, it’s in our nature to learn and be curious. Our employee-led affinity groups foster a culture of inclusion that empower us to be proud of our differences. Ongoing events and learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences, inspire us to never stop embracing our uniqueness.

Mentorship and Career Growth

We’re continuously raising our performance bar as we strive to become Earth’s Best Employer. That’s why you’ll find endless knowledge-sharing, mentorship and other career-advancing resources here to help you develop into a better-rounded professional.

Basic Qualifications

 3+ years of building models for business application experience
 PhD, or Master's degree and 4+ years of CS, CE, ML or related field experience
 Experience in patents or publications at top-tier peer-reviewed conferences or journals
 Experience programming in Java, C++, Python or related language
 Experience in any of the following areas: algorithms and data structures, parsing, numerical optimization, data mining, parallel and distributed computing, high-performance computing

Preferred Qualifications

 Experience using Unix/Linux
 Experience in professional software development

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status.

Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.

Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $136,000/year in our lowest geographic market up to $223,400/year in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. This position will remain posted until filled. Applicants should apply via our internal or external career site.


Company - Amazon.com Services LLC

Job ID: A2870171"
Leidos,Technical Writer,"Description

The DigMod sector at Leidos is seeking an experiencedtechnical writer to contribute to the NASA End-user Services and Technology (NEST) program. In this assignment, the technical writer will be responsible for creating documentation that aids the NASA end user to support the NASA mission. The technical writer will work with the Leidos NEST team to create a wide range of documentation that provides information about NEST-provided compute, mobile and print products and services. Communications are designed to enhance productivity by providing awareness of IT changes, new features, and services, as well as detailed instructions.

Primary Responsibilities

 Createdocumentation to aid the end user in performing their mission.
 Research and interact with subject matter experts to ensure technical accuracy of content
 Create documentation that is clear, concise, and user friendly.
 Ensure integrity of task analysis, requirements, 508 compliance.
 Evaluate materials during development for alignment and appropriate styles, standards and specifications.
 Utilize documentation creativity to construct easy-to-read, easy-to-understand, and even entertaining documentation!

Typical Education And Required Experience

 Bachelor's degree and four years' experience. Additional years of experience will be considered in lieu of degree.
 Requires advanced skillset in Microsoft Office suite (Word, Excel, PPT) and Adobe Creative suite.
 Knowledge of other documentation formats and editing (e.g., PDF and Adobe Acrobat) is recommended.
 Basic knowledge of the Windows operating systems (e.g., Windows 10) is highly recommended.
 Knowledge of ServiceNow is highly recommended.
 Demonstrated experience in creating accurate, easy to understand end user documentation.
 Demonstrated ability to translate technical, complex and varied information into audience-resonating communications
 Results-oriented with the ability to multi-task in a fast paced, complex environment.

Basic Qualifications

 Requires strong written, listening, attention to detail, verbal and interpersonal skills to work with subject matter experts, executive decision makers, managers and peers.
 This person must be a charismatic motivator and an effective communicator with a creative and collaborative mindset to be successful.
 This person must also be patient and adaptable to change, remain organized, consistent, and creative.
 This person must be self-motivated, possess the ability to work independently and be driven to manage their time while having a remote reporting structure and geographically dispersed team.

This position requires the ability to obtain a PublicTrustclearance.Per the contract, U.S. Citizenship is required.

Original Posting Date

2025-01-09

While subject to change based on business needs, Leidos reasonably anticipates that this job requisition will remain open for at least 3 days with an anticipated close date of no earlier than 3 days after the original posting date as listed above.

Pay Range

Pay Range $63,700.00 - $115,150.00

The Leidos pay range for this job level is a general guideline onlyand not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law.

#Remote"
Altanova - Sustainable Strategy & Innovation,Business Development Intern,"Why join Altanova? 

We are an interdisciplinary and diverse team of super collaborators working hard to innovate at the forefront of our field on a variety of projects across the globe.
This role is the opportunity to engage in a leadership position with opportunities to grow within the company.
We care deeply about sustainability and creating a positive impact is part of our core mission.
We offer generous benefits, ranging from profit-sharing to 5 weeks of vacation so we can all focus on the mission.

Please visit our website at www.altanova.io for additional firm information.

What is this all about?

Altanova is a consulting and engineering firm specializing in sustainability and innovation. Based in New York and Paris, with a global perspective, we combine strategic and technological analysis to further the sustainable performance of clients’ assets, operations and reputation. Our work includes risk and materiality analysis, enhancing employee engagement and satisfaction, development and support in implementing decarbonization strategies across the value chain, optimizing energy use and transitioning to low-carbon energy through our strong foundation in industrial, building, and product sustainability. Our clients are a mix of real estate, corporate clients and investors.

We are seeking an ambitious and energetic Business Development Intern to support our growth initiatives in the United States. This is an exciting opportunity for a motivated individual to contribute to meaningful projects and gain experience in the rapidly growing field of sustainability consulting. The selected candidate will be an integral part of the team, receiving guidance and support from senior staff while having the opportunity to make a significant impact but also have the autonomy to contribute to the company’s future growth. For those who demonstrate strong performance and alignment with our mission, there is the possibility of advancing to a full-time role. You will gain hands-on experience in a dynamic environment, with exposure to cutting-edge sustainability practices and direct involvement in shaping the future of Altanova’s business development.

Expected Activities

Assist in identifying and pursuing new business opportunities in the sustainability and corporate responsibility space.
Support the development and implementation of long-term growth strategies.
Contribute to marketing and sales initiatives, including preparing client-facing materials and managing digital outreach.
Help establish and maintain strong relationships with clients and partners, ensuring a positive and lasting impact.
Conduct market research to identify trends, risks, and opportunities in the sustainability sector.

Desired Profile

2nd or 3rd Year Business School student with a focus on marketing, business development, or related fields
Strong interest in sustainability, corporate social responsibility (CSR), and environmental, social, and governance (ESG) matters, eager to help companies contribute to and transition towards a low-carbon world
Any prior knowledge or experience related to sustainability is a plus
Proficient and passionate about market research, marketing, and business development.
Excellent communication and presentation skills, both written and verbal. Professional proficiency in French is a plus. Any third language spoken at a professional level is an advantage.
Authorized to work in the United States

Location: New York (hybrid - or in person). The intern will report to the US Manager and will work closely with them, the President of Altanova, and the rest of the Strategy & Core Transformation team.

Position available immediately.

Internship duration: 4 to 6 months

Equal Opportunities

Altanova is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status, or any other characteristic protected by law."
Viant,Staff Software Engineer,"What You'll Do

As a Staff Software Engineer on our Runtime team, you will work directly with Viant's ad server, managing a high-volume, low-latency application that processes billions of unique requests a day. This role offers a great opportunity to work with state-of-the-art technology as part of bid optimization, dynamic performance optimization, as well as develop a self-diagnostic and healing architecture. In this role, you will deliver simple, elegant, scalable, extensible solutions that strike the right balance between short-term and long-term considerations. You will design, develop, maintain and trouble software features with an eye on cost, scalability, performance and fault-tolerance. You will participate in design discussions, code reviews and bug triage / Root Cause Analysis (RCA) sessions. You will have the opportunity to be the technical lead of projects that involve 2-3 other engineers.

Primarily supporting Viant's Demand Side Platform, VIANT DSP, you will collaborate with Product, other Engineering and Technical operations teams on the entire lifecycle from ideation to productization and beyond.

THE DAY-TO-DAY

Contribute to the development and continuous review of existing projects as well as participate in view and scope of future projects
Collaborate with other, internal teams to create and iterate on the runtime platform to create a highly reliable, highly-available, low-latency, runtime platform
Have an outsized impact by owning multiple subsystems of the runtime platform
Manage all phases of the software development life cycle

MUST HAVE

8+ years of professional experience in the software industry

GREAT TO HAVE

Experience in the AdTech domain
Proficiency in the Go programming language
Bachelor's degree in Mathematics, Computer Science or related field
Experience designing, building and delivering high quality software
Knowledge of modern programming languages
Knowledge of relational databases like MySQL, Oracle or SQL Server with experience in writing SQL
Knowledge of cloud based technologies, especially AWS and GCP

LIFE AT VIANT

Investing in our employee's professional growth is important to us, but so is investing in their well-being. That's why Viant was voted one of the BEST PLACES TO WORK!
Some our favorite employee benefits include fully paid health insurance, paid parental leave and unlimited PTO and more. View a list of our benefits here. 

$150,000 - $210,000 a year

In accordance with California law, the range provided is Viant's reasonable estimate of the compensation for this role. Final title and compensation for the position will be based on several factors including work experience and education.

Not the right position for you? Check out our other opportunities!

Viant Careers

About Viant

Viant Technology Inc. (NASDAQ: DSP) is a leader in AI-powered programmatic advertising, dedicated to driving innovation in digital marketing. Our omnichannel platform built for CTV allows marketers to plan, execute and measure their campaigns with unmatched precision and efficiency. With the launch of ViantAI, Viant is building the future of fully autonomous advertising solutions, empowering advertisers to achieve their boldest goals. Viant was recently awarded Best Demand Side Platform by MarTech Breakthrough, Great Place to Work® certification and received the Business Intelligence Group's Innovation award for AI Advancements. Learn more at viantinc.com.

Viant is an equal opportunity employer and makes employment decisions on the basis of merit. Viant prohibits unlawful discrimination against employees or applicants based on race (including traits historically associated with race, such as hair texture and protective hairstyles), religion, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, reproductive health decision making, gender, gender identity, gender expression, age, military status, veteran status, uniformed service member status, sexual orientation, transgender identity, citizenship status, pregnancy, or any other consideration made unlawful by federal, state, or local laws. Viant also prohibits unlawful discrimination based on the perception that anyone has any of those characteristics, or is associated with a person who has or is perceived as having any of those characteristics.

By clicking ""Apply for this Job"" and providing any information, I accept the Viant California Personnel Privacy Notice."
Heart & Sail Tours,Appointment Setter - Work From Home,"This is a remote position.

Appointment Setter (WFH) is a professional responsible for organizing and coordinating travel arrangements for individuals or groups. This role involves handling various aspects of Travel Planning, ensuring a smooth and enjoyable experience for clients. Take your future to the next level... earn Uncapped Income on your terms, with your own business using the tools provided by a host agency!

Work when you want, from where you want!!

Here's an overview of the responsibilities, skills, and qualifications typically associated with a customer consultant opportunity:

Responsibilities:

Industry Knowledge: We provide full training!

Knowledge of travel industry trends, destinations, and products a plus

Familiarity with various travel services, such as flights, hotels, car rentals, cruises, and travel insurance a plus

Communication Skills:

Excellent verbal and written communication skills 
Ability to effectively communicate with clients, suppliers, and team members 

Customer Service Skills:

Strong customer service 
Ability to handle customer inquiries, complaints, and requests professionally and efficiently 
Exceptional organizational skills to handle multiple tasks and bookings simultaneously 
Attention to detail to ensure accurate and error-free bookings 

Problem-Solving Skills:

Ability to quickly and effectively solve problems that may arise during travel arrangements 
Resourcefulness in finding alternative solutions for clients 
Cultural sensitivity and awareness to cater to the diverse needs of clients from different backgrounds 

Legal and Regulatory Compliance:

Understanding of travel regulations, visa requirements, and other legal aspects related to international and domestic travel 

Teamwork:

Ability to work well on your own and motivation to meet goals 

Adaptability:

Flexibility to adapt to changes in the travel industry, such as new technology, regulations, or trends 

Certifications:

Included in your training once offer is accepted 

Qualifications

Must have a computer, tablet or mobile device 
Must be 18 or older 
Must be Proficient in English, Bilingual a Plus 

Available in USA, Argentina, Australia, Mexico, Colombia, Costa Rica, Ecuador, Panama, Peru

This entry-level position serves as your gateway into the vibrant world of the travel industry. Taking this first step allows you to make a positive impact on travelers' lives while fostering your professional growth. Explore the world, one exceptional experience at a time – commence your entrepreneurial journey today."
Apex Focus Group,Part-Time Focus Group Participant - Individuals with children,"Now accepting applicants for Focus Group studies. Earn up to $750 per week part-time working from home. Must register to see if you qualify. No Administrative Assistant admin experience needed.

Administrative Assistant Admin Work From Home - Part Time Remote Focus Group Panelists

Our company is seeking individuals to participate in National & Local Paid Focus Groups, Clinical Trials, and Market Research assignments.

With most of our paid focus group studies, you have the option to participate remotely online or in-person. This is a great way to earn additional income from the comfort of your home.

Compensation

$75-$150 (per 1 hour session)
$300-$750 (multi-session studies)

Job Requirements

Show up at least 10 mins before discussion start time.
Participate by completing written and oral instructions.
Complete written survey provided for each panel.
MUST actually use products and/or services, if provided. Then be ready to discuss PRIOR to meeting date.

Qualifications

Must have either a smartphone with working camera or desktop/laptop with webcam
Must have access to high speed internet connection
Desire to fully participate in one or several of the above topics
Ability to read, understand, and follow oral and written instructions.
Administrative assistant admin experience is not necessary.

Job Benefits

Flexibility to take part in discussions online or in-person.
No commute needed should you choose to work from home remotely.
No minimum hours. You can do this part-time or full-time
Enjoy free samples from our sponsors and partners in exchange for your honest feedback of their products.
You get to review and use new products or services before they are released to the public.

You must apply on our website and complete a set of questionnaire to see if you qualify.

This position is perfect for anyone looking for temporary, part-time or full-time work. The hours are flexible and no previous experience is required. If you are an administrative assistant or someone just looking for a flexible part time remote work from home job, this is a great way to supplement your income."
Jobs via Dice,Software Engineer - Data Infrastructure - OpenSearch/ElasticSearch,"Job Description

Job Description

Canonical is building a comprehensive automation suite to provide multi-cloud and on-premise data solutions for the enterprise. The data platform team is a collaborative team that develops a full range of data stores and data technologies, spanning from big data, through NoSQL, cache-layer capabilities, and analytics; all the way to structured SQL engines.

The OpenSearch team is, among other things, focused on creating the best enterprise automation solution for search and analytics suites like OpenSearch and Elasticsearch.

We have a number of openings we are looking to hire across a range of levels. We will help you identify a suitable position depending on your experience and interests. Engineers who thrive at Canonical are mindful of open-source community dynamics and equally aware of the needs of large, innovative organisations.

Location: This is a Globally remote role

What your day will look like

The OpenSearch team is responsible for the automation of OpenSearch operations. This includes ensuring fault-tolerant replication, TLS, installation, and much more; but also provides domain-specific expertise on the actual data system to other teams within Canonical. This role is focused on the creation and automation of features of data platforms, not analysing the data in them.

Collaborate proactively with an internationally distributed team
Write high-quality, idiomatic Python code to create new features
Debug issues and interact with upstream communities publicly
Work with helpful and talented engineers including experts in a diverse set of fields
Work from home with global travel for 2 to 4 weeks per year for internal and external events

What we are looking for in you

Proven hands-on experience in software development using Python
Proven hands-on experience in distributed systems development
Bachelor's or equivalent in Computer Science, STEM, or a similar degree
Willingness to travel up to 4 times a year for internal events

Additional skills that you might also bring

You might also bring a subset of experience from the following, which will determine the exact role and level we consider you for:

Experience operating and managing search and analytics engines like Elasticsearch, Logstash, KIbana, and OpenSearch
Experience with Linux systems administration, package management, and operations
Experience with the public cloud or a private cloud solution like OpenStack
Experience with operating Kubernetes clusters and a belief that it can be used for serious persistent data services

What we offer you

Your base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.

In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, please ask your Talent Partner.

Fully remote working environment - we've been working remotely since 2004!
Personal learning and development budget of 2,000USD per annum
Annual compensation review
Recognition rewards
Annual holiday leave
Parental Leave
Employee Assistance Programme
Opportunity to travel to new locations to meet colleagues at 'sprints'
Priority Pass for travel and travel upgrades for long haul company events

About Canonical

Canonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.

Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.

Canonical is an equal-opportunity employer

We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration."
Jobs via Dice,QA Engineer,"IDR is seeking a dynamic and dedicated QA Engineer to join one of our top clients in Los Angeles. This role offers an exciting opportunity to contribute to the QA process for a team that creates features for globally recognized products. If you are passionate about quality assurance, thrive in a team-oriented culture, and are looking for an opportunity to grow within a large organization, we encourage you to apply today!

Position Overview/Responsibilities for the QA Engineer:

Map your team's work to quality targets based on product goals, while driving visibility on progress
Hold fellow team members accountable for including quality as an essential factor in decision-making
Conduct quality activities throughout the software development life cycle
Report the metrics that matter, using data to guide action
Help call out risks, impact, probability, and help plan mitigation
Communicate progress of assigned tasks, and blockers to you and your team's work
Help improve product pipelines and workflows
This is a contract position through June 30th, 2025

Required Skills for QA Engineer:

Understanding of what it takes to grow quality for a team, project or other diverse effort
Experience in Test Planning, execution and defect management with remote testers
Experience working embedded with developers and content creators
Experience creating custom reporting on test coverage and defect data
2+ years Software Quality Assurance Experience
Preferred Licenses/certifications: ISTQB Foundation Level, ISTQB Agile Tester or ICAgile Agile Testing (ICP-TST), ISTQB Expert Level, ISTQB Advanced Test Manager, ICAgile Test Expert (ICE-AT) 

What's in it for you?

Competitive compensation package
Full Benefits; Medical, Vision, Dental, and more!
Opportunity to get in with an industry leading organization
Close-knit and team-oriented culture 

Why IDR?

25+ Years of Proven Industry Experience in 4 major markets
Employee Stock Ownership Program
Medical, Dental, Vision, and Life Insurance
ClearlyRated's Best of Staffing Client and Talent Award winner 11 years in a row

PandoLogic. Keywords: Quality Control / Quality Assurance Engineer, Location: Los Angeles, CA - 90040"
Pegasus Airlines,Business Development Specialist / Associate,"Pegasus Airlines

Pegasus Airlines is recognized globally as a leader in innovation, digital advancement, and profitability, consistently demonstrating exceptional growth. As a customer-focused airline, we utilize cutting-edge technologies and innovative solutions to enhance air travel experiences and redefine industry standards.

Pegasus Airlines Innovation Lab

Pegasus Innovation Lab was established in Silicon Valley by Pegasus Airlines in 2023 to take our ""Digital Airline"" promise to the next level by breaking the mold of ""traditional"" practices and driving innovation using cutting-edge technologies. Pegasus Innovation Lab is dedicated to driving value at every stage of our journey. Leading technological advancement, we are committed to scouting, adopting, and implementing cutting-edge technologies. By doing so, we ensure that Pegasus Airlines is a leading low-cost airline across the industry, continuously pushing the boundaries and setting new standards of excellence.

Position Overview

In the role of Business Development Specialist / Associate at Pegasus Airlines, you will champion transformative initiatives aimed at fostering innovation, expanding markets, and driving business growth. Reporting to the Business Development Manager of the Pegasus Innovation Lab, your responsibilities will include establishing strategic partnerships, managing innovation processes, and promoting global business development initiatives. Your contributions will be crucial to enhancing Pegasus Airlines’ competitive advantage and operational efficiency through the integration of technology and innovative solutions.

Key Responsibilities

Business Development and Partnership Building:
Manage administrative and coordination tasks related to pursuing new technology business opportunities, including scheduling meetings, preparing documentation, and collaborating with internal teams.
Facilitate initial meetings with external partners and related technology personnel from Pegasus HQ.
Assist in progressing business development stages, such as signing NDAs, PoCs, technology adoption, and project initiation.
Help identify and prioritize innovative opportunities within the aviation sector, encompassing new technologies, business models, and enhancements to customer experience.
Perform market research to track industry trends to support the Business Development Manager.
Assist in preparing business impact analyses for potential technology solutions, evaluating effects on company KPIs, operational performance metrics, and ROI statements in collaboration with financial and business representatives.
Participate in university collaborations, lead hackathons, and organize related events.
Technology Scouting and Alignment with Pegasus’ Needs:
Support the identification of Pegasus’ technological requirements and explore potential collaborations with startups, tech companies, and other entities to integrate innovative solutions into airline operations.
Extract beneficial products, solutions, or foundational technologies from the ecosystem (hubs/accelerators, airline-related networks/community, large tech vendors, etc.).
Staying Updated on Technological Advances:
Monitor and report on the roadmaps and releases of major tech companies (such as Apple, Google, Microsoft, Amazon) and developments in emerging technologies (AI, satellite connectivity, robotics, etc.) as they relate to other airlines' focus areas.
Attending tech events and supporting organizing tech events such as demo days, hackathons etc.
Tracking/Reporting/Communicating Progress & Success:
Report on the advancements and successes of the Innovation Lab in terms of engaged parties, integration within the Silicon Valley ecosystem, number of partnerships, PoCs, and fulfillment of technological needs.
Communicate successful partnerships and collaborative efforts alongside communication teams at Pegasus HQ.

Qualifications

 Bachelor’s degree in computer science or a related field, with a minimum of 2 years of experience preferred.
 Strong organizational and planning abilities, with the capacity to manage multiple projects and shifting priorities.
 Proficient in Microsoft Word, Excel, PowerPoint, and Outlook.
 Outstanding verbal and written communication skills.
 Ability to work effectively in a fast-paced environment with minimal supervision.
 Capability to navigate across multiple time zones and manage priorities efficiently. The ideal candidate is resourceful, motivated, responsive, and thrives in an unstructured setting.
 Familiarity with technology trends, particularly in AI, and awareness of strategies employed by large tech firms.

Benefits

Competitive salary and a comprehensive benefits package.
Opportunity to spearhead transformative changes within a globally recognized airline.
A dynamic work environment that promotes innovation, creativity, and professional advancement.

Location: San Francisco Bay Area, California / USA

Pegasus Innovation Lab will not provide visa sponsorship.

Application: If you are passionate about driving growth and transformation within the airline technology business and meet the qualifications detailed above, we encourage you to apply for the Business Development Specialist / Associate position at Pegasus Airlines Innovation Lab. Please submit your resume and cover letter outlining your relevant experiences and achievements."
